Date;Switzerland;France;US;China;Italy;UK;Australia;Germany;Japan;Spain;Canada;SouthKorea
31.05.1971;#WERT!;#WERT!;1135.16;#WERT!;#WERT!;36.17;11.5;#WERT!;#WERT!;#WERT!;95.58;#WERT!
30.06.1971;#WERT!;#WERT!;1145.715;#WERT!;#WERT!;54.89;17.39;#WERT!;#WERT!;#WERT!;97.375;#WERT!
30.07.1971;#WERT!;#WERT!;1152.751667;#WERT!;#WERT!;67.37;21.31666667;#WERT!;#WERT!;#WERT!;98.57166667;#WERT!
31.08.1971;#WERT!;#WERT!;1156.27;#WERT!;#WERT!;73.61;23.28;#WERT!;#WERT!;#WERT!;99.17;#WERT!
30.09.1971;#WERT!;#WERT!;1166.97;#WERT!;#WERT!;93.1;29.455;#WERT!;#WERT!;#WERT!;100.635;#WERT!
29.10.1971;#WERT!;#WERT!;1174.103333;#WERT!;#WERT!;106.0933333;33.57166667;#WERT!;#WERT!;#WERT!;101.6116667;#WERT!
30.11.1971;#WERT!;#WERT!;1177.67;#WERT!;#WERT!;112.59;35.63;#WERT!;#WERT!;#WERT!;102.1;#WERT!
31.12.1971;#WERT!;#WERT!;1183.985;#WERT!;#WERT!;133.095;41.975;#WERT!;#WERT!;#WERT!;104.18;#WERT!
31.01.1972;#WERT!;#WERT!;1188.195;#WERT!;#WERT!;146.765;46.205;#WERT!;#WERT!;#WERT!;105.5666667;#WERT!
29.02.1972;#WERT!;#WERT!;1190.3;#WERT!;#WERT!;153.6;48.32;#WERT!;#WERT!;#WERT!;106.26;#WERT!
31.03.1972;#WERT!;#WERT!;1210.455;#WERT!;#WERT!;157.055;49.18;#WERT!;#WERT!;#WERT!;107.105;#WERT!
28.04.1972;#WERT!;#WERT!;1223.891667;#WERT!;#WERT!;159.3583333;49.75333333;#WERT!;#WERT!;#WERT!;107.6683333;#WERT!
31.05.1972;#WERT!;#WERT!;1230.61;#WERT!;#WERT!;160.51;50.04;#WERT!;#WERT!;#WERT!;107.95;#WERT!
30.06.1972;#WERT!;#WERT!;1248.49;#WERT!;#WERT!;164.34;51.015;#WERT!;#WERT!;#WERT!;110.855;#WERT!
31.07.1972;#WERT!;#WERT!;1260.41;#WERT!;#WERT!;166.8933333;51.665;#WERT!;#WERT!;#WERT!;112.7916667;#WERT!
