Dates,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,20Y,30Y
1980-01-31,,,,,,,,,,,,,10.45,,,,,,,
1980-02-29,,,,,,,,,,,,,10.55,,,,,,,
1980-03-31,,,,,,,,,,,,,11.2,,,,,,,
1980-04-30,,,,,,,,,,,,,11.73,,,,,,,
1980-05-30,,,,,,,,,,,,,11.73,,,,,,,
1980-06-30,,,,,,,,,,,,,11.76,,,,,,,
1980-07-31,,,,,,,,,,,,,11.78,,,,,,,
1980-08-29,,,,,,,,,,,,,11.78,,,,,,,
1980-09-30,,,,,,,,,,,,,11.78,,,,,,,
1980-10-31,,,,,,,,,,,,,11.9,,,,,,,
1980-11-28,,,,,,,,,,,,,11.9,,,,,,,
1980-12-31,,,,,,,,,,,,,12.6,,,,,,,
1981-01-30,,,,,,,,,,,,,13.1,,,,,,,
1981-02-27,,,,,,,,,,,,,13.1,,,,,,,
1981-03-31,,,,,,,,,,,,,13.1,,,,,,,
1981-04-30,,,,,,,,,,,,,13.1,,,,,,,
1981-05-29,,,,,,,,,,,,,13.1,,,,,,,
1981-06-30,,,,,,,,,,,,,13.15,,,,,,,
1981-07-31,,,,,,,,,,,,,14.2,,,,,,,
1981-08-31,,,,,,,,,,,,,15,,,,,,,
1981-09-30,,,,,,,,,,,,,15,,,,,,,
1981-10-30,,,,,,,,,,,,,13.1,,,,,,,
1981-11-30,,,,,,,,,,,,,15,,,,,,,
1981-12-31,,,,,,,,,,,,,15,,,,,,,
1982-01-29,,,,,,,,,,,,,15.15,,,,,,,
1982-02-26,,,,,,,,,,,,,16,,,,,,,
1982-03-31,,,,,,,,,,,,,16.3,,,,,,,
1982-04-30,,,,,,,,,,,,,16.35,,,,,,,
1982-05-31,,,,,,,,,,,,,16.4,,,,,,,
1982-06-30,,,,,,,,,,,,,16.4,,,,,,,
1982-07-30,,,,,,,,,,,,,16.4,,,,,,,
1982-08-31,,,,,,,,,,,,,16.1,,,,,,,
1982-09-30,,,,,,,,,,,,,14,,,,,,,
1982-10-29,,,,,,,,,,,,,13.7,,,,,,,
1982-11-30,,,,,,,,,,,,,14.3,,,,,,,
1982-12-31,,,,,,,,,,,,,12.95,,,,,,,
1983-01-31,,,,,,,,,,,,,13.1,,,,,,,
1983-02-28,,,,,,,,,,,,,14.5,,,,,,,
1983-03-31,,,,,,,,,,,,,15,,,,,,,
1983-04-29,,,,,,,,,,,,,14.1,,,,,,,
1983-05-31,,,,,,,,,,,,,14.6,,,,,,,
1983-06-30,,,,,,,,,,,,,14.85,,,,,,,
1983-07-29,,,,,,,,,,,,,14.8,,,,,,,
1983-08-31,,,,,,,,,,,,,14.85,,,,,,,
1983-09-30,,,,,12.8,,,13.5,,,,,14.15,,,,,,,
1983-10-31,,,,11.25,11.9,,,12.35,,,,,13.4,,,,,,,
1983-11-30,,,,10.6,11,,,11.9,,,,,13.2,,,,,,,
1983-12-30,,,,10.6,11.5,,,12.8,,,,,13.5,,,,,,,
1984-01-31,,,,11.1,12.1,,,13.5,,,,,13.5,,,,,,,
1984-02-29,,,,12.1,12.35,,,13.15,,,,,14,,,,,,,
1984-03-30,,,,12.45,12.5,,,13.3,,,,,14.05,,,,,,,
1984-04-30,,,,12.4,12.45,,,13,,,,,13.9,,,,,,,
1984-05-31,,,,12.35,12.55,,,13.2,,,,,14.15,,,,,,,
1984-06-29,,,,11.85,12.15,,,12.9,,,,,13.75,,,,,,,
1984-07-31,,,,11.75,12.05,,,12.7,,,,,13.15,,,,,,,
1984-08-31,,,,10.75,11.2,,,12.15,,,,,12.8,,,,,,,
1984-09-28,,,,11.35,11.9,,,12.6,,,,,13.1,,,,,,,
1984-10-31,,,,11.75,12.1,,,12.9,,,,,13.25,,,,,,,
1984-11-30,,,,12.3,12.5,,,12.95,,,,,13.25,,,,,,,
1984-12-31,,,,12.75,12.9,,,13.15,,,,,13.5,,,,,,,
1985-01-31,,,,12.5,12.55,,,12.85,,,,,13.1,,,,,,,
1985-02-28,,,,13.1,13.2,,,13.35,,,,,13.7,,,,,,,
1985-03-29,,,,13.7,13.65,,,13.65,,,,,13.8,,,,,,,
1985-04-30,,,,13.75,13.65,,,13.75,,,,,14,,,,,,,
1985-05-31,,,,13.55,13.5,,,13.65,,,,,13.75,,,,,,,
1985-06-28,,,,13.6,13.45,,,13.35,,,,,13.5,,,,,,,
1985-07-31,,,,13.55,13.35,,,13.3,,,,,13.3,,,,,,,
1985-08-30,,,,15.7,14.45,,,14.05,,,,,13.95,,,,,,,
1985-09-30,,,,15.25,14.3,,,13.9,,,,,13.8,,,,,,,
1985-10-31,,,,15.55,15.05,,,14.75,,,,,14.55,,,,,,,
1985-11-29,,,,17,15.55,,,15.2,,,,,15.05,,,,,,,
1985-12-31,,,,17.6,15.65,,,15.2,,,,,14.85,,,,,,,
1986-01-31,,,,16.45,14.75,,,14.3,,,,,14.1,,,,,,,
1986-02-28,,,,15.6,14.15,,,13.9,,,,,13.7,,,,,,,
1986-03-31,,,,14.2,13.3,,,12.9,,,,,12.6,,,,,,,
1986-04-30,,,,12.85,12.65,,,12.4,,,,,12.25,,,,,,,
1986-05-30,,,,12.75,12.7,,,12.65,,,,,12.65,,,,,,,
1986-06-30,,,,12.8,12.8,,,12.8,,,,,12.95,,,,,,,
1986-07-31,,,,14.5,14.5,,,14.35,,,,,14.2,,,,,,,
1986-08-29,,,,15.9,15.1,,,14.55,,,,,14.1,,,,,,,
1986-09-30,,,,16,15.15,,,14.4,,,,,13.85,,,,,,,
1986-10-31,,,,15.35,14.3,,,13.85,,,,,13.6,,,,,,,
1986-11-28,,,,14.7,14.25,,,13.95,,,,,13.6,,,,,,,
1986-12-31,,,,14.4,14.05,,,13.85,,,,,13.4,,,,,,,
1987-01-30,,,,15.45,14.7,,,14.7,,,,,13.8,,,,,,,
1987-02-27,,,,15.45,15.05,,,14.55,,,,,14.15,,,,,,,
1987-03-31,,,,14.6,14.1,,,13.85,,,,,13.45,,,,,,,
1987-04-30,,,,14.15,13.85,,,13.5,,,,,13.05,,,,,,,
1987-05-29,,,,13.25,13.25,,,13.45,,,,,12.9,,,,,,,
1987-06-30,,,,13,13,,,13.1,,,,,12.8,,,,,,,
1987-07-31,,,,12.7,12.85,,,13,,,,,12.95,,,,,,,
1987-08-31,,,,12.55,12.6,,,12.8,,,,,12.95,,,,,,,
1987-09-30,,,,11.45,11.8,,,11.95,,,,,12.5,,,,,,,
1987-10-30,,,,12.9,13,,,13.4,,,,,13.65,,,,,,,
1987-11-30,,,,11.3,12.35,,,12.8,,,,,13.3,,,,,,,
1987-12-31,,,,11,11.45,,,12.15,,,,,12.85,,,,,,,
1988-01-29,,,,11.15,11.35,,,11.9,,,,,12.4,,,,,,,
1988-02-29,,,,11.25,11.55,,,11.9,,,,,12.3,,,,,,,
1988-03-31,,,,10.75,10.95,,,11.5,,,,,11.9,,,,,,,
1988-04-29,,,,10.75,10.9,,,11.25,,,,,11.5,,,,,,,
1988-05-31,,,,12.15,12.3,,,12.45,,,,,12.3,,,,,,,
1988-06-30,,,,11.6,11.7,,,11.95,,,,,11.95,,,,,,,
1988-07-29,,,,12.1,12.05,,,12.05,,,,,11.85,,,,,,,
1988-08-31,,,,12.5,12.3,,,12.3,,,,,11.8,,,,,,,
1988-09-30,,,,13.3,12.9,,,12.6,,,,,11.95,,,,,,,
1988-10-31,,,,13.6,13.05,,,12.7,,,,,11.9,,,,,,,
1988-11-30,,,,14.05,13.3,,,13.05,,,,,12.35,,,,,,,
1988-12-30,,,,14.5,13.85,,,13.5,,,,,12.95,,,,,,,
1989-01-31,,,,14.9,14.65,,,14.05,,,,,13.3,,,,,,,
1989-02-28,,,,15.4,15.05,,,14.35,,,,,13.65,,,,,,,
1989-03-31,,,,15.6,15.15,,,14.3,,10.039,,,13.65,,,,,,,
1989-04-28,,,,15.6,15.15,,,14.3,,10.039,,,13.4,,,,,,,
1989-05-31,,,,15.6,15.7,,,14.65,,13.9,,,13.9,,,,,,,
1989-06-30,,,,15.6,15.4,,,14.2,,13.5,,,13.5,,,,,,,
1989-07-31,,,,15.6,15.1,,,14,,13.35,,,13.35,,,,,,,
1989-08-31,,,,15.6,14.8,,,13.7,,12.95,,,12.95,,,,,,,
1989-09-29,,,,15.6,14.8,,,13.7,,12.95,,,13.65,,,,,,,
1989-10-31,,,,15.6,15.8,,,14.5,,13.55,,,13.55,,,,,,,
1989-11-30,,,,15.6,15,,,13.85,,13.1,,,13.1,,,,,,,
1989-12-29,,,,15.6,14.4,,,13.45,,12.9,,,12.9,,,,,,,
1990-01-31,,,,15.6,13.8,13.28,,13.25,,12.8,,,12.71,,,,,,,
1990-02-28,,,,15.6,14.3,13.96,,13.8,,13.3,,,13.3,,,,,,,
1990-03-30,,,,15.6,14.15,14.01,,13.85,,13.45,,,13.45,,,,,,,
1990-04-30,,,,15.6,14.45,14.31,,14.25,,13.8,,,13.8,,,,,,,
1990-05-31,,,,15.6,14.1,13.99,,14,,13.5,,,13.5,,,,,,,
1990-06-29,,,,15.6,14.05,13.93,,13.8,,13.4,,,13.45,,,,,,,
