Dates,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
1960-01-29,,,,,,,,,,,,,
1960-02-29,,,,,,,,,,,,,
1960-03-31,,,,,,,,,,,,,
1960-04-29,,,,,,,,,,,,,
1960-05-31,,,,,,,,,,,,,
1960-06-30,,,,,,,,,,,,,
1960-07-29,,,,,,,,,,,,,
1960-08-31,,,,,,,,,,,,,
1960-09-30,,,,,,,,,,,,,
1960-10-31,,,,,,,,,,,,,
1960-11-30,,,,,,,,,,,,,
1960-12-30,,,,,,,,,,,,,
1961-01-31,,,,,,,,,,,,,
1961-02-28,,,,,,,,,,,,,
1961-03-31,,,,,,,,,,,,,
1961-04-28,,,,,,,,,,,,,
1961-05-31,,,,,,,,,,,,,
1961-06-30,,,,,,,,,,,,,
1961-07-31,,,,,,,,,,,,,
1961-08-31,,,,,,,,,,,,,
1961-09-29,,,,,,,,,,,,,
1961-10-31,,,,,,,,,,,,,
1961-11-30,,,,,,,,,,,,,
1961-12-29,,,,,,,,,,,,,
1962-01-31,,,,,,,,,,,,,
1962-02-28,,,,,,,,,,,,,
1962-03-30,,,,,,,,,,,,,
1962-04-30,,,,,,,,,,,,,
1962-05-31,,,,,,,,,,,,,
1962-06-29,,,,,,,,,,,,,
1962-07-31,,,,,,,,,,,,,
1962-08-31,,,,,,,,,,,,,
1962-09-28,,,,,,,,,,,,,
1962-10-31,,,,,,,,,,,,,
1962-11-30,,,,,,,,,,,,,
1962-12-31,,,,,,,,,,,,,
1963-01-31,,,,,,,,,,,,,
1963-02-28,,,,,,,,,,,,,
1963-03-29,,,,,,,,,,,,,
1963-04-30,,,,,,,,,,,,,
1963-05-31,,,,,,,,,,,,,
1963-06-28,,,,,,,,,,,,,
1963-07-31,,,,,,,,,,,,,
1963-08-30,,,,,,,,,,,,,
1963-09-30,,,,,,,,,,,,,
1963-10-31,,,,,,,,,,,,,
1963-11-29,,,,,,,,,,,,,
1963-12-31,,,,,,,,,,,,,
1964-01-31,,,,,,,,,,,,,
1964-02-28,,,,,,,,,,,,,
1964-03-31,,,,,,,,,,,,,
1964-04-30,,,,,,,,,,,,,
1964-05-29,,,,,,,,,,,,,
1964-06-30,,,,,,,,,,,,,
1964-07-31,,,,,,,,,,,,,
1964-08-31,,,,,,,,,,,,,
1964-09-30,,,,,,,,,,,,,
1964-10-30,,,,,,,,,,,,,
1964-11-30,,,,,,,,,,,,,
1964-12-31,,,,,,,,,,,,,
1965-01-29,,,,,,,,,,,,,
1965-02-26,,,,,,,,,,,,,
1965-03-31,,,,,,,,,,,,,
1965-04-30,,,,,,,,,,,,,
1965-05-31,,,,,,,,,,,,,
1965-06-30,,,,,,,,,,,,,
1965-07-30,,,,,,,,,,,,,
1965-08-31,,,,,,,,,,,,,
1965-09-30,,,,,,,,,,,,,
1965-10-29,,,,,,,,,,,,,
1965-11-30,,,,,,,,,,,,,
1965-12-31,,,,,,,,,,,,,
1966-01-31,,,,,,,,,,,,,
1966-02-28,,,,,,,,,,,,,
1966-03-31,,,,,,,,,,,,,
1966-04-29,,,,,,,,,,,,,
1966-05-31,,,,,,,,,,,,,
1966-06-30,,,,,,,,,,,,,
1966-07-29,,,,,,,,,,,,,
1966-08-31,,,,,,,,,,,,,
1966-09-30,,,,,,,,,,,,,
1966-10-31,,,,,,,,,,,,,
1966-11-30,,,,,,,,,,,,,
1966-12-30,,,,,,,,,,,,,
1967-01-31,,,,,,,,,,,,,
1967-02-28,,,,,,,,,,,,,
1967-03-31,,,,,,,,,,,,,
1967-04-28,,,,,,,,,,,,,
1967-05-31,,,,,,,,,,,,,
1967-06-30,,,,,,,,,,,,,
1967-07-31,,,,,,,,,,,,,
1967-08-31,,,,,,,,,,,,,
1967-09-29,,,,,,,,,,,,,
1967-10-31,,,,,,,,,,,,,
1967-11-30,,,,,,,,,,,,,
1967-12-29,,,,,,,,,,,,,
1968-01-31,,,,,,,,,,,,,
1968-02-29,,,,,,,,,,,,,
1968-03-29,,,,,,,,,,,,,
1968-04-30,,,,,,,,,,,,,
1968-05-31,,,,,,,,,,,,,
1968-06-28,,,,,,,,,,,,,
1968-07-31,,,,,,,,,,,,,
1968-08-30,,,,,,,,,,,,,
1968-09-30,,,,,,,,,,,,,
1968-10-31,,,,,,,,,,,,,
1968-11-29,,,,,,,,,,,,,
1968-12-31,,,,,,,,,,,,,
1969-01-31,,,,,,,,,,,,,
1969-02-28,,,,,,,,,,,,,
1969-03-31,,,,,,,,,,,,,
1969-04-30,,,,,,,,,,,,,
1969-05-30,,,,,,,,,,,,,
1969-06-30,,,,,,,,,,,,,
1969-07-31,,,,,,,,,,,,,
1969-08-29,,,,,,,,,,,,,
1969-09-30,,,,,,,,,,,,,
1969-10-31,,,,,,,,,,,,,
1969-11-28,,,,,,,,,,,,,
1969-12-31,,,,,,,,,,,,,
1970-01-30,,,,,,,,,,,,,
1970-02-27,,,,,,,,,,,,,
1970-03-31,,,,,,,,,,,,,
1970-04-30,,,,,,,,,,,,,
1970-05-29,,,,,,,,,,,,,
1970-06-30,,,,,,,,,,,,,
1970-07-31,,,,,,,,,,,,,
1970-08-31,,,,,,,,,,,,,
1970-09-30,,,,,,,,,,,,,
1970-10-30,,,,,,,,,,,,,
1970-11-30,,,,,,,,,,,,,
1970-12-31,,,,,,,,,,,,,
1971-01-29,,,,,,,,,,,,,
1971-02-26,,,,,,,,,,,,,
1971-03-31,,,,,,,,,,,,,
1971-04-30,,,,,,,,,,,,,
1971-05-31,,,,,,,,,,,,,
1971-06-30,,,,,,,,,,,,,
1971-07-30,,,,,,,,,,,,,
1971-08-31,,,,,,,,,,,,,
1971-09-30,,,,,,,,,,,,,
1971-10-29,,,,,,,,,,,,,
1971-11-30,,,,,,,,,,,,,
1971-12-31,,,,,,,,,,,,,
1972-01-31,,,,,,,,,,,,,
1972-02-29,,,,,,,,,,,,,
1972-03-31,,,,,,,,,,,,,
1972-04-28,,,,,,,,,,,,,
1972-05-31,,,,,,,,,,,,,
1972-06-30,,,,,,,,,,,,,
1972-07-31,,,,,,,,,,,,,
1972-08-31,,,,,,,,,,,,,
1972-09-29,,,,,,,,,,,,,
1972-10-31,,,,,,,,,,,,,
1972-11-30,,,,,,,,,,,,,
1972-12-29,,,,,,,,,,,,,
1973-01-31,,,,,,,,,,,,,
1973-02-28,,,,,,,,,,,,,
1973-03-30,,,,,,,,,,,,,
1973-04-30,,,,,,,,,,,,,
1973-05-31,,,,,,,,,,,,,
1973-06-29,,,,,,,,,,,,,
1973-07-31,,,,,,,,,,,,,
1973-08-31,,,,,,,,,,,,,
1973-09-28,,,,,,,,,,,,,
1973-10-31,,,,,,,,,,,,,
1973-11-30,,,,,,,,,,,,,
1973-12-31,,,,,,,,,,,,,
1974-01-31,,,,,,,,,,,,,
1974-02-28,,,,,,,,,,,,,
1974-03-29,,,,,,,,,,,,,
1974-04-30,,,,,,,,,,,,,
1974-05-31,,,,,,,,,,,,,
1974-06-28,,,,,,,,,,,,,
1974-07-31,,,,,,,,,,,,,
1974-08-30,,,,,,,,,,,,,
1974-09-30,,,,,,,,,,,,,
1974-10-31,,,,,,,,,,,,,
1974-11-29,,,,,,,,,,,,,
1974-12-31,,,,,,,,,,,,,
1975-01-31,,,,,,,,,,,,,
1975-02-28,,,,,,,,,,,,,
1975-03-31,,,,,,,,,,,,,
1975-04-30,,,,,,,,,,,,,
1975-05-30,,,,,,,,,,,,,
1975-06-30,,,,,,,,,,,,,
1975-07-31,,,,,,,,,,,,,
1975-08-29,,,,,,,,,,,,,
1975-09-30,,,,,,,,,,,,,
1975-10-31,,,,,,,,,,,,,
1975-11-28,,,,,,,,,,,,,
1975-12-31,,,,,,,,,,,,,
1976-01-30,,,,,,,,,,,,,
1976-02-27,,,,,,,,,,,,,
1976-03-31,,,,,,,,,,,,,
1976-04-30,,,,,,,,,,,,,
1976-05-31,,,,,,,,,,,,,
1976-06-30,,,,,,,,,,,,,
1976-07-30,,,,,,,,,,,,,
1976-08-31,,,,,,,,,,,,,
1976-09-30,,,,,,,,,,,,,
1976-10-29,,,,,,,,,,,,,
1976-11-30,,,,,,,,,,,,,
1976-12-31,,,,,,,,,,,,,
1977-01-31,,,,,,,,,,,,,
1977-02-28,,,,,,,,,,,,,
1977-03-31,,,,,,,,,,,,,
