Dates,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,10Y,15Y,20Y,30Y,40Y,1M
1980-01-31,,,,,,,,,,,,,,,,
1980-02-29,,,,,,,,,,,,,,,,
1980-03-31,,,,,,,,,,,,,,,,
1980-04-30,,,,,,,,,,,,,,,,
1980-05-30,,,,,,,,,,,,,,,,
1980-06-30,,,,,,,,,,,,,,,,
1980-07-31,,,,,,,,,,,,,,,,
1980-08-29,,,,,,,,,,,,,,,,
1980-09-30,,,,,,,,,,,,,,,,
1980-10-31,,,,,,,,,,,,,,,,
1980-11-28,,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,,,,,,,,,
1981-01-30,,,,,,,,,,,,,,,,
1981-02-27,,,,,,,,,,,,,,,,
1981-03-31,,,,,,,,,,,,,,,,
1981-04-30,,,,,,,,,,,,,,,,
1981-05-29,,,,,,,,,,,,,,,,
1981-06-30,,,,,,,,,,,,,,,,
1981-07-31,,,,,,,,,,,,,,,,
1981-08-31,,,,,,,,,,,,,,,,
1981-09-30,,,,,,,,,,,,,,,,
1981-10-30,,,,,,,,,,,,,,,,
1981-11-30,,,,,,,,,,,,,,,,
1981-12-31,,,,,,,,,,,,,,,,
1982-01-29,,,,,,,,,,,,,,,,
1982-02-26,,,,,,,,,,,,,,,,
1982-03-31,,,,,,,,,,,,,,,,
1982-04-30,,,,,,,,,,,,,,,,
1982-05-31,,,,,,,,,,,,,,,,
1982-06-30,,,,,,,,,,,,,,,,
1982-07-30,,,,,,,,,,,,,,,,
1982-08-31,,,,,,,,,,,,,,,,
1982-09-30,,,,,,,,,,,,,,,,
1982-10-29,,,,,,,,,,,,,,,,
1982-11-30,,,,,,,,,,,,,,,,
1982-12-31,,,,,,,,,,,,,,,,
1983-01-31,,,,,,,,,,,,,,,,
1983-02-28,,,,,,,,,,,,,,,,
1983-03-31,,,,,,,,,,,,,,,,
1983-04-29,,,,,,,,,,,,,,,,
1983-05-31,,,,,,,,,,,,,,,,
1983-06-30,,,,,,,,,,,,,,,,
1983-07-29,,,,,,,,,,,,,,,,
1983-08-31,,,,,,,,,,,,,,,,
1983-09-30,,,,,,,,,,,,,,,,
1983-10-31,,,,,,,,,,,,,,,,
1983-11-30,,,,,,,,,,,,,,,,
1983-12-30,,,,,,,,,,,,,,,,
1984-01-31,,,,,,,,,,,,,,,,
1984-02-29,,,,,,,,,,,,,,,,
1984-03-30,,,,,,,,,,,,,,,,
1984-04-30,,,,,,,,,,,,,,,,
1984-05-31,,,,,,,,,,,,,,,,
1984-06-29,,,,,,,,,,,,,,,,
1984-07-31,,,,,,,,,,,,,,,,
1984-08-31,,,,,,,,,,,,,,,,
1984-09-28,,,,,,,,,,,,,,,,
1984-10-31,,,,,,,,,,,,,,,,
1984-11-30,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,
1985-01-31,,,,,,,,,,,,,,,,
1985-02-28,,,,,,,,,,,,,,,,
1985-03-29,,,,,,,,,,,,,,,,
1985-04-30,,,,,,,,,,,,,,,,
1985-05-31,,,,,,,,,,,,,,,,
1985-06-28,,,,,,,,,,,,,,,,
1985-07-31,,,,,,,,,,,,,,,,
1985-08-30,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,
1985-10-31,,,,,,,,,,,,,,,,
1985-11-29,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,
1986-01-31,,,,,,,,,,,,,,,,
1986-02-28,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,
1986-04-30,,,,,,,,,,,,,,,,
1986-05-30,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,
1986-07-31,,,,,,,,,,,,,,,,
1986-08-29,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,
1986-10-31,,,,,,,,,,,,,,,,
1986-11-28,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,
1987-01-30,,,,,,,,,,,,,,,,
1987-02-27,0.009256892176824164,,,,,,,,,,,,,,,
1987-03-31,0.010018181153167662,,,,,,,,,,,,,,,
1987-04-30,0.008986417949927557,,,,,,,,,,,,,,,
1987-05-29,0.008103244599300825,,,,,,,,,,,,,,,
1987-06-30,0.0068033824668463,,,,,,,,,,,,,,,
1987-07-31,0.007172428081850945,,,,,,,,,,,,,,,
1987-08-31,0.005826813393709873,,,,,,,,,,,,,,,
1987-09-30,0.008509142838212561,,,,,,,,,,,,,,,
1987-10-30,0.009936429725786332,,,,,,,,,,,,,,,
1987-11-30,0.007804542878993671,,,,,,,,,,,,,,,
1987-12-31,0.009761553374883184,,,,,,,,,,,,,,,
