Dates,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
1962-01-31,3.29,,3.81,3.99,,4.1,,
1962-02-28,3.21,,3.53,3.77,,4.0,,
1962-03-30,2.97,,3.39,3.61,,3.86,,
1962-04-30,3.07,,3.47,3.64,,3.86,,
1962-05-31,2.99,,3.36,3.66,,3.9,,
1962-06-29,3.2,,3.56,3.76,,4.0,,
1962-07-31,3.33,,3.62,3.82,,4.04,,
1962-08-31,3.14,,3.42,3.66,,3.96,,
1962-09-28,3.02,,3.35,3.66,,3.94,,
1962-10-31,2.97,,3.36,3.64,,3.92,,
1962-11-30,3.02,,3.41,3.59,,3.92,,
1962-12-31,3.05,,3.4,3.56,,3.85,,
1963-01-31,3.03,,3.41,3.65,,3.87,,
1963-02-28,3.02,,3.42,3.68,,3.94,,
1963-03-29,3.09,,3.44,3.71,,3.95,,
1963-04-30,3.11,,3.54,3.73,,3.95,,
1963-05-31,3.2,,3.59,3.78,,3.96,,
1963-06-28,3.19,,3.61,3.82,,4.0,,
1963-07-31,3.5,,3.77,3.88,,4.0,,
1963-08-30,3.59,,3.81,3.93,,4.02,,
1963-09-30,3.59,,3.82,3.94,,4.07,,
1963-10-31,3.68,,3.92,4.01,,4.15,,
1963-11-29,3.74,,3.94,3.99,,4.08,,
1963-12-31,3.83,,4.05,4.06,,4.14,,
1964-01-31,3.76,,4.0,4.03,,4.15,,
1964-02-28,3.91,,4.07,4.1,,4.18,,
1964-03-31,3.94,,4.16,4.16,,4.23,,
1964-04-30,3.84,,4.1,4.13,,4.22,,
1964-05-28,3.84,,4.03,4.03,,4.19,,
1964-06-30,3.78,,3.95,4.01,,4.15,,
1964-07-31,3.69,,3.92,4.04,,4.19,,
1964-08-31,3.81,,3.96,4.07,,4.21,,
1964-09-30,3.84,,4.01,4.05,,4.18,,
1964-10-30,3.86,,4.01,4.05,,4.16,,
1964-11-30,4.1,,4.16,4.13,,4.2,,
1964-12-31,3.99,,4.06,4.12,,4.21,,
1965-01-29,3.96,,4.04,4.11,,4.19,,
1965-02-26,4.09,,4.12,4.16,,4.22,,
1965-03-31,4.03,,4.11,4.14,,4.2,,
1965-04-30,4.04,,4.12,4.16,,4.21,,
1965-05-28,4.04,,4.1,4.15,,4.23,,
1965-06-30,3.96,,4.06,4.14,,4.2,,
1965-07-30,4.02,,4.11,4.18,,4.22,,
1965-08-31,4.13,,4.21,4.22,,4.27,,
1965-09-30,4.36,,4.33,4.33,,4.35,,
1965-10-29,4.33,,4.38,4.4,,4.41,,
1965-11-30,4.4,,4.49,4.47,,4.48,,
1965-12-31,4.96,,5.0,4.88,,4.65,,
1966-01-31,4.89,,4.98,4.98,,4.69,,
1966-02-28,5.01,,5.06,5.03,,5.02,,
1966-03-31,4.9,,4.89,4.84,,4.71,,
1966-04-29,4.91,,4.97,4.85,,4.79,,
1966-05-31,5.04,,5.1,5.0,,4.8,,
1966-06-30,5.05,,5.22,5.09,,4.97,,
1966-07-29,5.24,,5.32,5.26,,5.05,,
