DATE,CPI
1913/1/1,9.8
1913/2/1,9.8
1913/3/1,9.8
1913/4/1,9.8
1913/5/1,9.7
1913/6/1,9.8
1913/7/1,9.9
1913/8/1,9.9
1913/9/1,10
1913/10/1,10
1913/11/1,10.1
1913/12/1,10
1914/1/1,10
1914/2/1,9.9
1914/3/1,9.9
1914/4/1,9.8
1914/5/1,9.9
1914/6/1,9.9
1914/7/1,10
1914/8/1,10.2
1914/9/1,10.2
1914/10/1,10.1
1914/11/1,10.2
1914/12/1,10.1
1915/1/1,10.1
1915/2/1,10
1915/3/1,9.9
1915/4/1,10
1915/5/1,10.1
1915/6/1,10.1
1915/7/1,10.1
1915/8/1,10.1
1915/9/1,10.1
1915/10/1,10.2
1915/11/1,10.3
1915/12/1,10.3
1916/1/1,10.4
1916/2/1,10.4
1916/3/1,10.5
1916/4/1,10.6
1916/5/1,10.7
1916/6/1,10.8
1916/7/1,10.8
1916/8/1,10.9
1916/9/1,11.1
1916/10/1,11.3
1916/11/1,11.5
1916/12/1,11.6
1917/1/1,11.7
1917/2/1,12
1917/3/1,12
1917/4/1,12.6
1917/5/1,12.8
1917/6/1,13
1917/7/1,12.8
1917/8/1,13
1917/9/1,13.3
1917/10/1,13.5
1917/11/1,13.5
1917/12/1,13.7
1918/1/1,14
1918/2/1,14.1
1918/3/1,14
1918/4/1,14.2
1918/5/1,14.5
1918/6/1,14.7
1918/7/1,15.1
1918/8/1,15.4
1918/9/1,15.7
1918/10/1,16
1918/11/1,16.3
1918/12/1,16.5
1919/1/1,16.5
1919/2/1,16.2
1919/3/1,16.4
1919/4/1,16.7
1919/5/1,16.9
1919/6/1,16.9
1919/7/1,17.4
1919/8/1,17.7
1919/9/1,17.8
1919/10/1,18.1
1919/11/1,18.5
1919/12/1,18.9
1920/1/1,19.3
1920/2/1,19.5
1920/3/1,19.7
1920/4/1,20.3
1920/5/1,20.6
1920/6/1,20.9
1920/7/1,20.8
1920/8/1,20.3
1920/9/1,20
1920/10/1,19.9
1920/11/1,19.8
1920/12/1,19.4
1921/1/1,19
1921/2/1,18.4
1921/3/1,18.3
1921/4/1,18.1
1921/5/1,17.7
1921/6/1,17.6
1921/7/1,17.7
1921/8/1,17.7
1921/9/1,17.5
1921/10/1,17.5
1921/11/1,17.4
1921/12/1,17.3
1922/1/1,16.9
1922/2/1,16.9
1922/3/1,16.7
1922/4/1,16.7
1922/5/1,16.7
1922/6/1,16.7
1922/7/1,16.8
1922/8/1,16.6
1922/9/1,16.6
1922/10/1,16.7
1922/11/1,16.8
1922/12/1,16.9
1923/1/1,16.8
1923/2/1,16.8
1923/3/1,16.8
1923/4/1,16.9
1923/5/1,16.9
1923/6/1,17
1923/7/1,17.2
1923/8/1,17.1
1923/9/1,17.2
1923/10/1,17.3
1923/11/1,17.3
1923/12/1,17.3
1924/1/1,17.3
1924/2/1,17.2
1924/3/1,17.1
1924/4/1,17
1924/5/1,17
1924/6/1,17
1924/7/1,17.1
1924/8/1,17
1924/9/1,17.1
1924/10/1,17.2
1924/11/1,17.2
1924/12/1,17.3
1925/1/1,17.3
1925/2/1,17.2
1925/3/1,17.3
1925/4/1,17.2
1925/5/1,17.3
1925/6/1,17.5
1925/7/1,17.7
1925/8/1,17.7
1925/9/1,17.7
1925/10/1,17.7
1925/11/1,18
1925/12/1,17.9
1926/1/1,17.9
1926/2/1,17.9
1926/3/1,17.8
1926/4/1,17.9
1926/5/1,17.8
1926/6/1,17.7
1926/7/1,17.5
1926/8/1,17.4
1926/9/1,17.5
1926/10/1,17.6
1926/11/1,17.7
1926/12/1,17.7
1927/1/1,17.5
1927/2/1,17.4
1927/3/1,17.3
1927/4/1,17.3
1927/5/1,17.4
1927/6/1,17.6
1927/7/1,17.3
1927/8/1,17.2
1927/9/1,17.3
1927/10/1,17.4
1927/11/1,17.3
1927/12/1,17.3
1928/1/1,17.3
1928/2/1,17.1
1928/3/1,17.1
1928/4/1,17.1
1928/5/1,17.2
1928/6/1,17.1
1928/7/1,17.1
1928/8/1,17.1
1928/9/1,17.3
1928/10/1,17.2
1928/11/1,17.2
1928/12/1,17.1
1929/1/1,17.1
1929/2/1,17.1
1929/3/1,17
1929/4/1,16.9
1929/5/1,17
1929/6/1,17.1
1929/7/1,17.3
1929/8/1,17.3
1929/9/1,17.3
1929/10/1,17.3
1929/11/1,17.3
1929/12/1,17.2
1930/1/1,17.1
1930/2/1,17
1930/3/1,16.9
1930/4/1,17
1930/5/1,16.9
1930/6/1,16.8
1930/7/1,16.6
1930/8/1,16.5
1930/9/1,16.6
1930/10/1,16.5
1930/11/1,16.4
1930/12/1,16.1
1931/1/1,15.9
1931/2/1,15.7
1931/3/1,15.6
1931/4/1,15.5
1931/5/1,15.3
1931/6/1,15.1
1931/7/1,15.1
1931/8/1,15.1
1931/9/1,15
1931/10/1,14.9
1931/11/1,14.7
1931/12/1,14.6
1932/1/1,14.3
1932/2/1,14.1
1932/3/1,14
1932/4/1,13.9
1932/5/1,13.7
1932/6/1,13.6
1932/7/1,13.6
1932/8/1,13.5
1932/9/1,13.4
1932/10/1,13.3
1932/11/1,13.2
1932/12/1,13.1
1933/1/1,12.9
1933/2/1,12.7
1933/3/1,12.6
1933/4/1,12.6
1933/5/1,12.6
1933/6/1,12.7
1933/7/1,13.1
1933/8/1,13.2
1933/9/1,13.2
1933/10/1,13.2
1933/11/1,13.2
1933/12/1,13.2
1934/1/1,13.2
1934/2/1,13.3
1934/3/1,13.3
1934/4/1,13.3
1934/5/1,13.3
1934/6/1,13.4
1934/7/1,13.4
1934/8/1,13.4
1934/9/1,13.6
1934/10/1,13.5
1934/11/1,13.5
1934/12/1,13.4
1935/1/1,13.6
1935/2/1,13.7
1935/3/1,13.7
1935/4/1,13.8
1935/5/1,13.8
1935/6/1,13.7
1935/7/1,13.7
1935/8/1,13.7
1935/9/1,13.7
1935/10/1,13.7
1935/11/1,13.8
1935/12/1,13.8
1936/1/1,13.8
1936/2/1,13.8
1936/3/1,13.7
1936/4/1,13.7
1936/5/1,13.7
1936/6/1,13.8
1936/7/1,13.9
1936/8/1,14
1936/9/1,14
1936/10/1,14
1936/11/1,14
1936/12/1,14
1937/1/1,14.1
1937/2/1,14.1
1937/3/1,14.2
1937/4/1,14.3
1937/5/1,14.4
1937/6/1,14.4
1937/7/1,14.5
1937/8/1,14.5
1937/9/1,14.6
1937/10/1,14.6
1937/11/1,14.5
1937/12/1,14.4
1938/1/1,14.2
1938/2/1,14.1
1938/3/1,14.1
1938/4/1,14.2
1938/5/1,14.1
1938/6/1,14.1
1938/7/1,14.1
1938/8/1,14.1
1938/9/1,14.1
1938/10/1,14
1938/11/1,14
1938/12/1,14
1939/1/1,14
1939/2/1,13.9
1939/3/1,13.9
1939/4/1,13.8
1939/5/1,13.8
1939/6/1,13.8
1939/7/1,13.8
1939/8/1,13.8
1939/9/1,14.1
1939/10/1,14
1939/11/1,14
1939/12/1,14
1940/1/1,13.9
1940/2/1,14
1940/3/1,14
1940/4/1,14
1940/5/1,14
1940/6/1,14.1
1940/7/1,14
1940/8/1,14
1940/9/1,14
1940/10/1,14
1940/11/1,14
1940/12/1,14.1
1941/1/1,14.1
1941/2/1,14.1
1941/3/1,14.2
1941/4/1,14.3
1941/5/1,14.4
1941/6/1,14.7
1941/7/1,14.7
1941/8/1,14.9
1941/9/1,15.1
1941/10/1,15.3
1941/11/1,15.4
1941/12/1,15.5
1942/1/1,15.7
1942/2/1,15.8
1942/3/1,16
1942/4/1,16.1
1942/5/1,16.3
1942/6/1,16.3
1942/7/1,16.4
1942/8/1,16.5
1942/9/1,16.5
1942/10/1,16.7
1942/11/1,16.8
1942/12/1,16.9
1943/1/1,16.9
1943/2/1,16.9
1943/3/1,17.2
1943/4/1,17.4
1943/5/1,17.5
1943/6/1,17.5
1943/7/1,17.4
1943/8/1,17.3
1943/9/1,17.4
1943/10/1,17.4
1943/11/1,17.4
1943/12/1,17.4
1944/1/1,17.4
1944/2/1,17.4
1944/3/1,17.4
1944/4/1,17.5
1944/5/1,17.5
1944/6/1,17.6
1944/7/1,17.7
1944/8/1,17.7
1944/9/1,17.7
1944/10/1,17.7
1944/11/1,17.7
1944/12/1,17.8
1945/1/1,17.8
1945/2/1,17.8
1945/3/1,17.8
1945/4/1,17.8
1945/5/1,17.9
1945/6/1,18.1
1945/7/1,18.1
1945/8/1,18.1
1945/9/1,18.1
1945/10/1,18.1
1945/11/1,18.1
1945/12/1,18.2
1946/1/1,18.2
1946/2/1,18.1
1946/3/1,18.3
1946/4/1,18.4
1946/5/1,18.5
1946/6/1,18.7
1946/7/1,19.8
1946/8/1,20.2
1946/9/1,20.4
1946/10/1,20.8
1946/11/1,21.3
1946/12/1,21.5
1947/1/1,21.5
1947/2/1,21.5
1947/3/1,21.9
1947/4/1,21.9
1947/5/1,21.9
1947/6/1,22
1947/7/1,22.2
1947/8/1,22.5
1947/9/1,23
1947/10/1,23
1947/11/1,23.1
1947/12/1,23.4
1948/1/1,23.7
1948/2/1,23.5
1948/3/1,23.4
1948/4/1,23.8
1948/5/1,23.9
1948/6/1,24.1
1948/7/1,24.4
1948/8/1,24.5
1948/9/1,24.5
1948/10/1,24.4
1948/11/1,24.2
1948/12/1,24.1
1949/1/1,24
1949/2/1,23.8
1949/3/1,23.8
1949/4/1,23.9
1949/5/1,23.8
1949/6/1,23.9
1949/7/1,23.7
1949/8/1,23.8
1949/9/1,23.9
1949/10/1,23.7
1949/11/1,23.8
1949/12/1,23.6
1950/1/1,23.5
1950/2/1,23.5
1950/3/1,23.6
1950/4/1,23.6
1950/5/1,23.7
1950/6/1,23.8
1950/7/1,24.1
1950/8/1,24.3
1950/9/1,24.4
1950/10/1,24.6
1950/11/1,24.7
1950/12/1,25
1951/1/1,25.4
1951/2/1,25.7
1951/3/1,25.8
1951/4/1,25.8
1951/5/1,25.9
1951/6/1,25.9
1951/7/1,25.9
1951/8/1,25.9
1951/9/1,26.1
1951/10/1,26.2
1951/11/1,26.4
1951/12/1,26.5
1952/1/1,26.5
1952/2/1,26.3
1952/3/1,26.3
1952/4/1,26.4
1952/5/1,26.4
1952/6/1,26.5
1952/7/1,26.7
1952/8/1,26.7
1952/9/1,26.7
1952/10/1,26.7
1952/11/1,26.7
1952/12/1,26.7
1953/1/1,26.6
1953/2/1,26.5
1953/3/1,26.6
1953/4/1,26.6
1953/5/1,26.7
1953/6/1,26.8
1953/7/1,26.8
1953/8/1,26.9
1953/9/1,26.9
1953/10/1,27
1953/11/1,26.9
1953/12/1,26.9
1954/1/1,26.9
1954/2/1,26.9
1954/3/1,26.9
1954/4/1,26.8
1954/5/1,26.9
1954/6/1,26.9
1954/7/1,26.9
1954/8/1,26.9
1954/9/1,26.8
1954/10/1,26.8
1954/11/1,26.8
1954/12/1,26.7
1955/1/1,26.7
1955/2/1,26.7
1955/3/1,26.7
1955/4/1,26.7
1955/5/1,26.7
1955/6/1,26.7
1955/7/1,26.8
1955/8/1,26.8
1955/9/1,26.9
1955/10/1,26.9
1955/11/1,26.9
1955/12/1,26.8
1956/1/1,26.8
1956/2/1,26.8
1956/3/1,26.8
1956/4/1,26.9
1956/5/1,27
1956/6/1,27.2
1956/7/1,27.4
1956/8/1,27.3
1956/9/1,27.4
1956/10/1,27.5
1956/11/1,27.5
1956/12/1,27.6
1957/1/1,27.6
1957/2/1,27.7
1957/3/1,27.8
1957/4/1,27.9
1957/5/1,28
1957/6/1,28.1
1957/7/1,28.3
1957/8/1,28.3
1957/9/1,28.3
1957/10/1,28.3
1957/11/1,28.4
1957/12/1,28.4
1958/1/1,28.6
1958/2/1,28.6
1958/3/1,28.8
1958/4/1,28.9
1958/5/1,28.9
1958/6/1,28.9
1958/7/1,29
1958/8/1,28.9
1958/9/1,28.9
1958/10/1,28.9
1958/11/1,29
1958/12/1,28.9
1959/1/1,29
1959/2/1,28.9
1959/3/1,28.9
1959/4/1,29
1959/5/1,29
1959/6/1,29.1
1959/7/1,29.2
1959/8/1,29.2
1959/9/1,29.3
1959/10/1,29.4
1959/11/1,29.4
1959/12/1,29.4
1960/1/1,29.3
1960/2/1,29.4
1960/3/1,29.4
1960/4/1,29.5
1960/5/1,29.5
1960/6/1,29.6
1960/7/1,29.6
1960/8/1,29.6
1960/9/1,29.6
1960/10/1,29.8
1960/11/1,29.8
1960/12/1,29.8
1961/1/1,29.8
1961/2/1,29.8
1961/3/1,29.8
1961/4/1,29.8
1961/5/1,29.8
1961/6/1,29.8
1961/7/1,30
1961/8/1,29.9
1961/9/1,30
1961/10/1,30
1961/11/1,30
1961/12/1,30
1962/1/1,30
1962/2/1,30.1
1962/3/1,30.1
1962/4/1,30.2
1962/5/1,30.2
1962/6/1,30.2
1962/7/1,30.3
1962/8/1,30.3
1962/9/1,30.4
1962/10/1,30.4
1962/11/1,30.4
1962/12/1,30.4
1963/1/1,30.4
1963/2/1,30.4
1963/3/1,30.5
1963/4/1,30.5
1963/5/1,30.5
1963/6/1,30.6
1963/7/1,30.7
1963/8/1,30.7
1963/9/1,30.7
1963/10/1,30.8
1963/11/1,30.8
1963/12/1,30.9
1964/1/1,30.9
1964/2/1,30.9
1964/3/1,30.9
1964/4/1,30.9
1964/5/1,30.9
1964/6/1,31
1964/7/1,31.1
1964/8/1,31
1964/9/1,31.1
1964/10/1,31.1
1964/11/1,31.2
1964/12/1,31.2
1965/1/1,31.2
1965/2/1,31.2
1965/3/1,31.3
1965/4/1,31.4
1965/5/1,31.4
1965/6/1,31.6
1965/7/1,31.6
1965/8/1,31.6
1965/9/1,31.6
1965/10/1,31.7
1965/11/1,31.7
1965/12/1,31.8
1966/1/1,31.8
1966/2/1,32
1966/3/1,32.1
1966/4/1,32.3
1966/5/1,32.3
1966/6/1,32.4
1966/7/1,32.5
1966/8/1,32.7
1966/9/1,32.7
1966/10/1,32.9
1966/11/1,32.9
1966/12/1,32.9
1967/1/1,32.9
1967/2/1,32.9
1967/3/1,33
1967/4/1,33.1
1967/5/1,33.2
1967/6/1,33.3
1967/7/1,33.4
1967/8/1,33.5
1967/9/1,33.6
1967/10/1,33.7
1967/11/1,33.8
1967/12/1,33.9
1968/1/1,34.1
1968/2/1,34.2
1968/3/1,34.3
1968/4/1,34.4
1968/5/1,34.5
1968/6/1,34.7
1968/7/1,34.9
1968/8/1,35
1968/9/1,35.1
1968/10/1,35.3
1968/11/1,35.4
1968/12/1,35.5
