date;aaa_rate;baa_rate;brent_level;brent_ret;fedfund_rate;gdp_level;gdp_growth;gold_level;gold_return;inflation_rate;sp_ret;t10y_rate;t10y1y_rate;t10y3m_rate;un_rate;un_growth;vix_ret
1963-07;0.0426;0.0484;2.97;0;0.0302;3666.669;0.046;35.09;0.000285;0.002613525;-0.003459795;0.0402;0.0054;0.0084;0.056;0;0
1963-08;0.0429;0.0483;2.97;0;0.0349;3666.669;0.046;35.1;0.000284981;0.001955034;0.04874878;0.04;0.0047;0.0068;0.056;-0.096774194;0
1963-09;0.0431;0.0484;2.97;0;0.0348;3666.669;0.046;35.08;-0.000569801;-0.00097561;-0.011034524;0.0408;0.0051;0.007;0.052;-0.071428571;0
1963-10;0.0432;0.0483;2.97;0;0.035;3747.278;0.091;35.08;0;0.000976563;0.032217644;0.0411;0.0047;0.0066;0.048;-0.076923077;0
1963-11;0.0433;0.0484;2.97;0;0.0348;3747.278;0.091;35.08;0;0.00097561;-0.010539103;0.0412;0.0038;0.006;0.047;-0.020833333;0
1963-12;0.0435;0.0485;2.97;0;0.0338;3747.278;0.091;35.08;0;0.003248863;0.024443451;0.0413;0.0032;0.0061;0.053;0.127659574;0
1964-01;0.0439;0.0483;2.97;0;0.0348;3771.845;0.026;35.08;0;0.001943005;0.026926207;0.0417;0.0038;0.0065;0.053;0;0
1964-02;0.0436;0.0483;2.97;0;0.0348;3771.845;0.026;35.08;0;-0.000969619;0.009865031;0.0415;0.0037;0.0062;0.064;0.20754717;0
1964-03;0.0438;0.0483;2.97;0;0.0343;3771.845;0.026;35.08;0;0.00097056;0.015167095;0.0422;0.0031;0.0068;0.062;-0.03125;0
1964-04;0.044;0.0485;2.97;0;0.0347;3851.366;0.087;35.08;0;0.000323206;0.006077437;0.0423;0.0032;0.0076;0.059;-0.048387097;0
1964-05;0.0441;0.0485;2.97;0;0.035;3851.366;0.087;35.08;0;0.000969305;0.011452354;0.042;0.0036;0.0072;0.053;-0.101694915;0
1964-06;0.0441;0.0485;2.97;0;0.035;3851.366;0.087;35.08;0;0.000968367;0.016424026;0.0417;0.0034;0.0069;0.048;-0.094339623;0
