DATE,CPIAUCSL_PC1
1948/1/1,10.24209
1948/2/1,9.48196
1948/3/1,6.81818
1948/4/1,8.27273
1948/5/1,9.38497
1948/6/1,9.375
1948/7/1,9.76158
1948/8/1,9.0625
1948/9/1,6.65499
1948/10/1,6.11087
1948/11/1,4.77016
1948/12/1,2.73387
1949/1/1,1.39358
1949/2/1,1.01394
1949/3/1,1.74468
1949/4/1,0.41982
1949/5/1,-0.41649
1949/6/1,-0.95238
1949/7/1,-2.86885
1949/8/1,-2.98813
1949/9/1,-2.50411
1949/10/1,-2.63266
1949/11/1,-1.90397
1949/12/1,-1.82952
1950/1/1,-2.08247
1950/2/1,-1.25471
1950/3/1,-1.12923
1950/4/1,-1.12876
1950/5/1,-0.58553
1950/6/1,-0.16722
1950/7/1,1.56118
1950/8/1,2.1097
1950/9/1,2.48421
1950/10/1,3.50655
1950/11/1,3.79747
1950/12/1,5.80263
1951/1/1,7.95406
1951/2/1,9.4028
1951/3/1,9.47547
1951/4/1,9.59831
1951/5/1,9.3395
1951/6/1,8.58459
1951/7/1,7.64437
1951/8/1,6.8595
1951/9/1,6.9433
1951/10/1,6.77551
1951/11/1,6.99187
1951/12/1,5.96477
1952/1/1,4.21592
1952/2/1,2.24545
1952/3/1,1.97063
1952/4/1,2.08333
1952/5/1,1.84686
1952/6/1,2.31392
1952/7/1,2.97183
1952/8/1,3.20959
1952/9/1,2.30503
1952/10/1,2.02599
1952/11/1,1.40578
1952/12/1,0.90669
1953/1/1,0.71834
1953/2/1,0.68156
1953/3/1,0.90944
1953/4/1,0.86924
1953/5/1,0.86891
1953/6/1,0.90464
1953/7/1,0.41229
1953/8/1,0.59948
1953/9/1,0.97634
1953/10/1,0.97415
1953/11/1,0.59948
1953/12/1,0.59903
1954/1/1,1.12613
1954/2/1,1.50432
1954/3/1,1.12655
1954/4/1,0.63694
1954/5/1,0.86142
1954/6/1,0.63504
1954/7/1,0.26129
1954/8/1,0
1954/9/1,-0.29751
